,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dicabisagan,PH,17.0818,122.4157,81.19,82,100,2.42,moderate rain
80,Eldorado,BR,-23.7869,-54.2836,68.11,50,0,4.76,clear sky
81,Tilichiki,RU,60.4667,166.1,60.48,63,8,6.04,clear sky
82,Port Hedland,AU,-20.3167,118.5667,73.45,53,30,14.97,scattered clouds
83,Coruripe,BR,-10.1256,-36.1756,73.45,92,100,12.12,light rain
84,Tiarei,PF,-17.5333,-149.3333,82.42,74,7,23.4,clear sky
85,Keetmanshoop,NA,-26.5833,18.1333,51.42,93,15,6.82,few clouds
86,Fortuna,US,40.5982,-124.1573,67.93,84,75,11.5,broken clouds
87,Arkadak,RU,51.9326,43.4978,60.57,75,50,8.08,scattered clouds
88,Mataura,NZ,-46.1927,168.8643,44.47,81,73,10.27,broken clouds
89,Akyab,MM,20.15,92.9,84.07,75,100,10.56,overcast clouds
90,Mandalgovi,MN,45.7625,106.2708,77.59,43,18,12.88,few clouds
91,Chavakachcheri,LK,9.6579,80.1643,81.63,80,100,15.88,overcast clouds
92,Goderich,CA,43.7501,-81.7165,62.91,77,0,5.12,clear sky
93,Faanui,PF,-16.4833,-151.75,78.66,69,12,22.53,few clouds
94,Fort Nelson,CA,58.8053,-122.7002,56.79,94,100,4.61,thunderstorm with light rain
95,Ilulissat,GL,69.2167,-51.1,48.22,87,100,1.14,overcast clouds
96,Nchelenge,ZM,-9.3451,28.734,61.97,55,10,7.65,clear sky
97,Barra Da Estiva,BR,-13.6261,-41.3269,59.32,82,2,3.24,clear sky
98,Hami,CN,42.8,93.45,78.46,48,4,5.37,clear sky
99,Banda Aceh,ID,5.5577,95.3222,82.76,69,100,13.58,moderate rain
100,Namibe,AO,-15.1961,12.1522,58.01,79,28,3.85,scattered clouds
101,Hilo,US,19.7297,-155.09,80.26,84,31,1.99,scattered clouds
102,Caravelas,BR,-17.7125,-39.2481,69.06,86,0,4.34,clear sky
103,Englehart,CA,47.8169,-79.8664,56.62,67,25,2.95,scattered clouds
104,Ajaigarh,IN,24.9,80.2667,83.71,72,100,2.77,overcast clouds
105,Marsa Matruh,EG,31.3525,27.2453,78.46,76,0,7.54,clear sky
106,Mahebourg,MU,-20.4081,57.7,66.25,69,8,8.5,clear sky
107,Nhulunbuy,AU,-12.2333,136.7667,81.21,78,75,12.66,broken clouds
108,Brokopondo,SR,4.75,-55.1667,77.61,86,100,6.11,light rain
109,Ancud,CL,-41.8697,-73.8203,45.23,91,100,4.56,overcast clouds
110,Bethel,US,41.3712,-73.414,77.63,92,0,0.0,clear sky
111,Bukama,CD,-9.2,25.85,70.32,37,2,3.33,clear sky
112,Diffa,NE,13.3154,12.6113,73.08,84,59,10.6,broken clouds
113,Miandrivazo,MG,-19.5167,45.4667,67.1,59,0,4.45,clear sky
114,Hermanus,ZA,-34.4187,19.2345,48.79,85,8,2.89,clear sky
115,East London,ZA,-33.0153,27.9116,66.13,57,81,3.8,broken clouds
116,Saint-Augustin,CA,51.226,-58.6502,62.53,95,66,13.18,broken clouds
117,Santa Maria Del Oro,MX,25.9333,-105.3667,76.77,40,73,4.83,broken clouds
118,Bay Roberts,CA,47.5999,-53.2648,66.33,93,54,1.01,broken clouds
119,Okhotsk,RU,59.3833,143.3,61.86,79,99,8.77,overcast clouds
120,Saskylakh,RU,71.9167,114.0833,46.17,66,100,12.48,overcast clouds
121,Kutum,SD,14.2,24.6667,72.18,65,96,4.09,light rain
122,Tolaga Bay,NZ,-38.3667,178.3,60.55,66,100,8.61,overcast clouds
123,Maniitsoq,GL,65.4167,-52.9,43.09,91,88,6.06,overcast clouds
124,Atuona,PF,-9.8,-139.0333,77.34,74,12,13.0,few clouds
125,Castro,BR,-24.7911,-50.0119,58.08,69,0,3.76,clear sky
126,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,8.05,broken clouds
127,Deputatskiy,RU,69.3,139.9,49.8,67,100,3.91,overcast clouds
128,Yanam,IN,16.7333,82.2167,84.96,70,86,4.45,overcast clouds
129,Port Lincoln,AU,-34.7333,135.8667,62.04,50,0,28.48,clear sky
130,Belmonte,BR,-15.8631,-38.8828,70.52,84,0,4.92,clear sky
131,Carnarvon,AU,-24.8667,113.6333,67.87,65,75,20.58,broken clouds
132,Derzhavinsk,KZ,51.1,66.3167,64.98,59,53,15.79,broken clouds
133,Port Macquarie,AU,-31.4333,152.9167,65.89,46,33,6.62,scattered clouds
134,Erzin,TR,36.9559,36.2,76.66,90,60,0.22,broken clouds
135,Tame,CO,6.461,-71.73,71.58,86,100,3.02,overcast clouds
136,Suntar,RU,62.1444,117.6319,72.34,71,73,9.44,broken clouds
137,Oudtshoorn,ZA,-33.5907,22.2014,59.31,57,54,5.88,broken clouds
138,Bilma,NE,18.6853,12.9164,87.6,43,6,7.63,clear sky
139,Port Alfred,ZA,-33.5906,26.891,66.2,54,4,10.6,clear sky
140,Knysna,ZA,-34.0363,23.0471,58.91,58,13,3.09,few clouds
141,Lebu,CL,-37.6167,-73.65,46.45,82,4,14.83,clear sky
142,Ballina,AU,-28.8667,153.5667,72.01,69,81,7.94,broken clouds
143,Oster,UA,50.9506,30.8823,59.29,97,100,9.93,overcast clouds
144,Alice Springs,AU,-23.7,133.8833,80.15,19,40,14.97,scattered clouds
145,Bismarck,US,46.8083,-100.7837,76.06,78,0,6.91,clear sky
146,Atar,MR,20.5169,-13.0499,84.99,46,0,13.6,clear sky
147,Maldonado,UY,-34.6667,-54.9167,54.23,96,92,4.94,overcast clouds
148,Tabou,CI,4.423,-7.3528,74.86,77,100,6.08,overcast clouds
149,Cabedelo,BR,-6.9811,-34.8339,74.07,85,15,2.62,few clouds
150,Egvekinot,RU,66.3167,-179.1667,57.96,53,43,11.39,scattered clouds
151,Vila Velha,BR,-20.3297,-40.2925,73.35,90,40,6.91,scattered clouds
152,Chokurdakh,RU,70.6333,147.9167,56.61,46,100,6.89,overcast clouds
153,Seoul,KR,37.5683,126.9778,82.0,89,100,4.61,mist
154,Plavinas,LV,56.6178,25.7255,56.03,97,67,3.09,broken clouds
155,Parral,MX,26.9333,-105.6667,80.56,29,79,7.47,broken clouds
156,Evensk,RU,61.95,159.2333,52.9,96,100,7.67,light rain
157,Mago,RU,53.2514,140.1822,72.97,66,79,2.46,broken clouds
158,Bognor Regis,GB,50.7821,-0.6798,66.97,90,78,12.62,broken clouds
159,Leningradskiy,RU,69.3833,178.4167,49.64,69,100,7.78,overcast clouds
160,Atambua,ID,-9.1061,124.8925,81.82,46,77,0.18,broken clouds
161,Tshela,CD,-4.9833,12.9333,67.42,90,67,2.57,broken clouds
162,Codrington,AU,-38.2667,141.9667,59.54,68,25,20.04,scattered clouds
163,Lotofaga,WS,-13.9764,-171.8578,87.58,77,11,22.82,few clouds
164,Kaunas,LT,54.9,23.9,46.58,87,68,0.0,fog
165,Minab,IR,27.1467,57.0801,92.73,55,92,6.6,overcast clouds
166,Murgab,TM,37.4966,61.9714,80.62,27,3,7.18,clear sky
167,Broken Hill,AU,-31.95,141.4333,72.52,34,0,26.11,clear sky
168,Yarmouth,US,41.7057,-70.2286,77.47,89,0,17.27,clear sky
169,Sundargarh,IN,22.1167,84.0333,84.25,70,100,4.63,overcast clouds
170,Maningrida,AU,-12.0667,134.2667,85.82,58,100,11.86,overcast clouds
171,Bayanday,RU,53.0661,105.5139,65.88,70,100,4.12,overcast clouds
172,Windhoek,NA,-22.5594,17.0832,41.2,56,2,4.61,clear sky
173,Inhambane,MZ,-23.865,35.3833,62.58,70,13,3.87,few clouds
174,Dingle,PH,10.9995,122.6711,85.64,73,99,6.46,overcast clouds
175,Nurlat,RU,54.4277,50.8051,59.5,90,0,6.71,clear sky
176,Vestmannaeyjar,IS,63.4427,-20.2734,48.2,72,47,21.97,scattered clouds
177,Arraial Do Cabo,BR,-22.9661,-42.0278,69.33,88,0,6.08,clear sky
178,Buturlinovka,RU,50.8239,40.6092,65.41,77,100,9.42,light rain
179,Carrickfergus,GB,54.7158,-5.8058,61.56,85,75,14.97,broken clouds
180,Mar Del Plata,AR,-38.0023,-57.5575,55.09,97,100,4.61,mist
181,Malakal,SS,9.5334,31.6605,68.07,96,100,3.44,overcast clouds
182,Kruisfontein,ZA,-34.0033,24.7314,57.16,57,6,6.71,clear sky
183,Olafsvik,IS,64.8945,-23.7142,47.7,68,81,9.44,broken clouds
184,Litovko,RU,49.2361,135.1742,78.57,72,42,3.4,scattered clouds
185,Tecoanapa,MX,16.5167,-98.75,81.79,80,40,4.03,scattered clouds
186,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,77,55,2.75,broken clouds
187,Ribeira Grande,PT,38.5167,-28.7,75.24,85,99,14.38,light rain
188,Naron,ES,43.5167,-8.1528,70.03,91,65,11.03,broken clouds
189,Paso De Los Toros,UY,-32.8167,-56.5167,55.65,94,73,6.8,broken clouds
190,Celendin,PE,-6.8703,-78.1517,55.35,84,17,4.23,few clouds
191,Vernon,CA,50.2581,-119.2691,89.62,35,95,3.13,overcast clouds
192,Srednekolymsk,RU,67.45,153.6833,60.48,84,100,12.46,overcast clouds
193,Esso,RU,55.9333,158.7,51.46,92,100,3.4,light rain
194,Qaanaaq,GL,77.484,-69.3632,44.29,62,18,2.77,few clouds
195,Nikolskoye,RU,59.7035,30.7861,58.8,93,47,4.85,scattered clouds
196,Iwanai,JP,42.9744,140.5089,81.55,64,100,2.53,overcast clouds
197,Otavi,NA,-19.65,17.3333,46.83,14,62,3.98,broken clouds
198,Thompson,CA,55.7435,-97.8558,54.64,87,100,3.65,overcast clouds
199,Angelopolis,US,34.0522,-118.2437,91.45,59,0,12.66,clear sky
200,Assiniboia,CA,49.6334,-105.9845,71.49,42,3,19.08,clear sky
201,Tura,IN,25.5198,90.2201,76.5,94,100,3.09,overcast clouds
202,Pareora,NZ,-44.4871,171.2132,62.19,21,2,6.91,clear sky
203,Honiara,SB,-9.4333,159.95,89.44,58,52,11.79,broken clouds
204,La Baule-Escoublac,FR,47.2922,-2.364,65.86,86,0,3.44,clear sky
205,Vigrestad,NO,58.5667,5.7,62.96,97,91,13.27,overcast clouds
206,Mattru,SL,7.6244,-11.8332,70.79,96,67,1.54,broken clouds
207,Vaitape,PF,-16.5167,-151.75,78.64,69,8,22.53,clear sky
208,Roma,US,43.2128,-75.4557,68.95,86,1,2.95,clear sky
209,Dongsheng,CN,39.8161,109.9776,79.59,51,93,13.13,overcast clouds
210,Shache,CN,38.4167,77.2406,72.72,50,100,14.72,overcast clouds
211,Nampula,MZ,-15.1165,39.2666,64.35,100,75,6.91,broken clouds
212,Najran,SA,17.4924,44.1277,74.64,65,53,5.97,broken clouds
213,Lavrentiya,RU,65.5833,-171.0,58.33,55,21,10.76,few clouds
214,Ankang,CN,32.68,109.0172,87.33,64,0,2.53,clear sky
215,Bloomington,US,44.8408,-93.2983,90.32,71,40,12.66,scattered clouds
216,Westport,US,41.1415,-73.3579,81.28,88,46,1.01,scattered clouds
217,Aquin,HT,18.2833,-73.4,78.3,79,35,2.15,scattered clouds
218,Nigran,ES,42.1415,-8.8066,68.65,92,0,4.61,clear sky
219,Fairbanks,US,64.8378,-147.7164,68.0,77,75,3.44,broken clouds
220,Tuatapere,NZ,-46.1333,167.6833,51.39,72,59,11.88,broken clouds
221,Pochutla,MX,15.7432,-96.4661,81.82,88,51,4.63,broken clouds
222,Smithers,CA,54.7804,-127.1743,60.98,70,93,5.21,overcast clouds
223,Sao Filipe,CV,14.8961,-24.4956,77.36,83,38,6.08,scattered clouds
224,Almeirim,BR,-1.5233,-52.5817,74.14,93,66,3.04,broken clouds
225,Cherskiy,RU,68.75,161.3,50.72,90,100,9.86,overcast clouds
226,Port Blair,IN,11.6667,92.75,80.73,84,100,22.01,overcast clouds
227,Grindavik,IS,63.8424,-22.4338,46.9,81,75,13.8,broken clouds
228,Luanda,AO,-8.8368,13.2343,63.73,86,6,7.25,clear sky
229,Alofi,NU,-19.0595,-169.9187,80.49,61,75,17.27,broken clouds
230,Shibetsu,JP,43.659,145.132,59.7,100,75,8.05,light intensity drizzle
231,Zhangye,CN,38.9342,100.4517,74.34,54,56,8.75,broken clouds
232,Ahipara,NZ,-35.1667,173.1667,62.55,69,100,2.08,overcast clouds
233,Rocha,UY,-34.4833,-54.3333,53.55,95,93,4.85,overcast clouds
234,Adrar,MR,20.5022,-10.0711,90.45,39,8,17.58,clear sky
235,Saint Anthony,US,45.0205,-93.218,89.92,69,0,12.66,clear sky
236,Rivadavia,AR,-33.1905,-68.4608,52.2,53,0,11.36,clear sky
237,Makhinjauri,GE,41.6739,41.694,71.46,88,0,10.36,clear sky
238,Yelovo,RU,57.0538,54.9207,59.22,84,5,4.54,clear sky
239,Pokhara,NP,28.2333,83.9833,73.65,91,100,0.43,overcast clouds
240,Hamilton,US,39.1834,-84.5333,78.58,80,0,4.61,clear sky
241,Ganzhou,CN,28.8184,115.4327,90.93,59,29,3.6,scattered clouds
242,San Vicente,AR,-26.6167,-54.1333,62.02,75,0,2.75,clear sky
243,Plaistow,US,42.8365,-71.0948,81.01,75,0,3.44,clear sky
244,Te Anau,NZ,-45.4167,167.7167,48.88,76,72,8.84,broken clouds
245,Ecoporanga,BR,-18.3733,-40.8306,64.54,95,0,2.28,clear sky
246,Matagami,CA,49.7502,-77.6328,54.45,67,9,4.45,clear sky
247,Chaozhou,CN,23.6651,116.6379,87.33,65,74,2.86,broken clouds
248,Bobo Dioulasso,BF,11.1771,-4.2979,71.74,91,100,5.73,overcast clouds
249,Torrington,US,41.8007,-73.1212,75.79,90,1,4.94,clear sky
250,Khatanga,RU,71.9667,102.5,47.46,63,100,6.49,overcast clouds
