City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Fort Nelson,CA,56.79,thunderstorm with light rain,58.8053,-122.7002,The Fort Nelson Hotel
95,Ilulissat,GL,48.22,overcast clouds,69.2167,-51.1,Hotel Arctic
96,Nchelenge,ZM,61.97,clear sky,-9.3451,28.734,KD Travellers Home
97,Barra Da Estiva,BR,59.32,clear sky,-13.6261,-41.3269,Pousada Central
98,Hami,CN,78.46,clear sky,42.8,93.45,Laoyutang Resort
100,Namibe,AO,58.01,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
102,Caravelas,BR,69.06,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
103,Englehart,CA,56.62,scattered clouds,47.8169,-79.8664,Englehart Motel & Restaurant
105,Marsa Matruh,EG,78.46,clear sky,31.3525,27.2453,Beau Site
106,Mahebourg,MU,66.25,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
108,Brokopondo,SR,77.61,light rain,4.75,-55.1667,Matu Island
109,Ancud,CL,45.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
110,Bethel,US,77.63,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
111,Bukama,CD,70.32,clear sky,-9.2,25.85,
112,Diffa,NE,73.08,broken clouds,13.3154,12.6113,ProDAF/Diffa
113,Miandrivazo,MG,67.1,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
114,Hermanus,ZA,48.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
115,East London,ZA,66.13,broken clouds,-33.0153,27.9116,Tu Casa
116,Saint-Augustin,CA,62.53,broken clouds,51.226,-58.6502,
117,Santa Maria Del Oro,MX,76.77,broken clouds,25.9333,-105.3667,Hotel Palacio Del Sol
118,Bay Roberts,CA,66.33,broken clouds,47.5999,-53.2648,Stonewall Inn
119,Okhotsk,RU,61.86,overcast clouds,59.3833,143.3,
120,Saskylakh,RU,46.17,overcast clouds,71.9167,114.0833,
121,Kutum,SD,72.18,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
122,Tolaga Bay,NZ,60.55,overcast clouds,-38.3667,178.3,Tolaga Bay Motel
123,Maniitsoq,GL,43.09,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
124,Atuona,PF,77.34,few clouds,-9.8,-139.0333,Villa Enata
125,Castro,BR,58.08,clear sky,-24.7911,-50.0119,CHACARA BAILLY
126,Iqaluit,CA,42.53,broken clouds,63.7506,-68.5145,Frobisher Inn
127,Deputatskiy,RU,49.8,overcast clouds,69.3,139.9,Baza Otdykha
129,Port Lincoln,AU,62.04,clear sky,-34.7333,135.8667,Port Lincoln Hotel
130,Belmonte,BR,70.52,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
131,Carnarvon,AU,67.87,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
132,Derzhavinsk,KZ,64.98,broken clouds,51.1,66.3167,Ooo.khim Baza
133,Port Macquarie,AU,65.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
134,Erzin,TR,76.66,broken clouds,36.9559,36.2,Artemis Otel
135,Tame,CO,71.58,overcast clouds,6.461,-71.73,Hospedaje Santa Ana
136,Suntar,RU,72.34,broken clouds,62.1444,117.6319,Гостевая квартира
137,Oudtshoorn,ZA,59.31,broken clouds,-33.5907,22.2014,Earthbound Guest House
139,Port Alfred,ZA,66.2,clear sky,-33.5906,26.891,The Halyards Hotel
140,Knysna,ZA,58.91,few clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
141,Lebu,CL,46.45,clear sky,-37.6167,-73.65,Hostal Las Lilas
142,Ballina,AU,72.01,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
143,Oster,UA,59.29,overcast clouds,50.9506,30.8823,Подвал О-Сану
145,Bismarck,US,76.06,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
147,Maldonado,UY,54.23,overcast clouds,-34.6667,-54.9167,La Cimarrona
148,Tabou,CI,74.86,overcast clouds,4.423,-7.3528,hotêl doufoulougou
149,Cabedelo,BR,74.07,few clouds,-6.9811,-34.8339,Pousada Camboinha
150,Egvekinot,RU,57.96,scattered clouds,66.3167,-179.1667,
151,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
152,Chokurdakh,RU,56.61,overcast clouds,70.6333,147.9167,
154,Plavinas,LV,56.03,broken clouds,56.6178,25.7255,Route 68
156,Evensk,RU,52.9,light rain,61.95,159.2333,
157,Mago,RU,72.97,broken clouds,53.2514,140.1822,
158,Bognor Regis,GB,66.97,broken clouds,50.7821,-0.6798,Royal Norfolk Hotel
159,Leningradskiy,RU,49.64,overcast clouds,69.3833,178.4167,Gostinitsa
161,Tshela,CD,67.42,broken clouds,-4.9833,12.9333,Hotel Mirador
162,Codrington,AU,59.54,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
164,Kaunas,LT,46.58,fog,54.9,23.9,Amberton Cozy Hotel Kaunas
167,Broken Hill,AU,72.52,clear sky,-31.95,141.4333,Royal Exchange Hotel
168,Yarmouth,US,77.47,clear sky,41.7057,-70.2286,Blue Rock Resort
171,Bayanday,RU,65.88,overcast clouds,53.0661,105.5139,Zhemchuzhina Baykala
173,Inhambane,MZ,62.58,few clouds,-23.865,35.3833,Oceano
175,Nurlat,RU,59.5,clear sky,54.4277,50.8051,Gostinitsa Zhiguli
176,Vestmannaeyjar,IS,48.2,scattered clouds,63.4427,-20.2734,Glamping & Camping
177,Arraial Do Cabo,BR,69.33,clear sky,-22.9661,-42.0278,Pousada Porto Praia
178,Buturlinovka,RU,65.41,light rain,50.8239,40.6092,Отель Охотник
179,Carrickfergus,GB,61.56,broken clouds,54.7158,-5.8058,Premier Inn Carrickfergus hotel
180,Mar Del Plata,AR,55.09,mist,-38.0023,-57.5575,Gran Hotel Mar del Plata
181,Malakal,SS,68.07,overcast clouds,9.5334,31.6605,Nile Palace Hotel
182,Kruisfontein,ZA,57.16,clear sky,-34.0033,24.7314,Oyster Bay House Rental
183,Olafsvik,IS,47.7,broken clouds,64.8945,-23.7142,Hotel Olafsvik
184,Litovko,RU,78.57,scattered clouds,49.2361,135.1742,
186,Vila Franca Do Campo,PT,68.41,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
187,Ribeira Grande,PT,75.24,light rain,38.5167,-28.7,Quinta da Meia Eira
188,Naron,ES,70.03,broken clouds,43.5167,-8.1528,Marcial
189,Paso De Los Toros,UY,55.65,broken clouds,-32.8167,-56.5167,Complejo Isabelino
190,Celendin,PE,55.35,few clouds,-6.8703,-78.1517,Villa Madrid
192,Srednekolymsk,RU,60.48,overcast clouds,67.45,153.6833,
193,Esso,RU,51.46,light rain,55.9333,158.7,Paramushir Tur
194,Qaanaaq,GL,44.29,few clouds,77.484,-69.3632,Qaanaaq Hotel
195,Nikolskoye,RU,58.8,scattered clouds,59.7035,30.7861,Tourist House - Sablino
198,Thompson,CA,54.64,overcast clouds,55.7435,-97.8558,Burntwood Hotel
200,Assiniboia,CA,71.49,clear sky,49.6334,-105.9845,Canalta Hotel Assiniboia
201,Tura,IN,76.5,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
202,Pareora,NZ,62.19,clear sky,-44.4871,171.2132,
204,La Baule-Escoublac,FR,65.86,clear sky,47.2922,-2.364,Hôtel Barrière Le Royal La Baule
205,Vigrestad,NO,62.96,overcast clouds,58.5667,5.7,Brusand Camping
206,Mattru,SL,70.79,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
207,Vaitape,PF,78.64,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
208,Roma,US,68.95,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
209,Dongsheng,CN,79.59,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
210,Shache,CN,72.72,overcast clouds,38.4167,77.2406,Delong Hotel
211,Nampula,MZ,64.35,broken clouds,-15.1165,39.2666,Ruby Backpackers
212,Najran,SA,74.64,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
213,Lavrentiya,RU,58.33,few clouds,65.5833,-171.0,
217,Aquin,HT,78.3,scattered clouds,18.2833,-73.4,Asheev Beach
218,Nigran,ES,68.65,clear sky,42.1415,-8.8066,Hotel Holiday
219,Fairbanks,US,68.0,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
220,Tuatapere,NZ,51.39,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
222,Smithers,CA,60.98,overcast clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
223,Sao Filipe,CV,77.36,scattered clouds,14.8961,-24.4956,Hotel Xaguate
224,Almeirim,BR,74.14,broken clouds,-1.5233,-52.5817,Ricácio Hotel
225,Cherskiy,RU,50.72,overcast clouds,68.75,161.3,Gostinitsa
227,Grindavik,IS,46.9,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
228,Luanda,AO,63.73,clear sky,-8.8368,13.2343,EPIC SANA Luanda
